UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Days ratio of total net assets to total expenditure,Days ratio of total net assets to total expenditure excl. pension adjustment,Debt service ratio,External borrowing as a % of total income,General funds as a % of total income,Net cash inflow from operating activities as a % of total income,Net liquidity days,Net liquidity days excl. pension adjustment,Premises costs as a % of total costs,Premises costs as a % of total costs excl. pension adjustment,Ratio of current assets to current liabilities,Staff costs as a % of total income,Staff costs excl. pension adjustment as a % of total income,Surplus/(deficit) as a % of total income,Surplus/(deficit) excl. pension adjustment as a % of total income,Unrestricted reserves as a % of total income
10004036,London Film School Limited,England,2019/20,London,193.0,193.0,,0.0,,0.185,210.0,210.0,0.086,0.086,1.9,0.428,0.428,0.101,0.101,0.47
10004036,London Film School Limited,England,2020/21,London,70.0,70.0,0.0,0.0,,0.142,232.0,232.0,0.022,0.022,1.4,0.5870000000000001,0.5870000000000001,-0.31,-0.31,0.248
10004036,London Film School Limited,England,2021/22,London,40.0,40.0,0.0,0.27,,0.071,206.0,206.0,0.019,0.019,1.1,0.508,0.508,-0.076,-0.076,0.115
10004036,London Film School Limited,England,2022/23,London,52.0,52.0,9.9,0.213,,0.024,200.0,200.0,0.016,0.016,1.9,0.482,0.482,0.037000000000000005,0.037000000000000005,0.134
10004036,London Film School Limited,England,2023/24,London,147.0,147.0,4.7,0.138,,0.215,267.0,267.0,0.014,0.014,2.4,0.393,0.393,0.18600000000000005,0.18600000000000005,0.326
10004036,London Film School Limited,England,2024/25,London,103.0,103.0,1.3,0.107,,0.057,159.0,159.0,0.028,0.028,1.2,0.48,0.48,-0.053,-0.053,0.294
10004048,London Metropolitan University,England,2015/16,London,395.0,,,0.01,0.0,0.008,407.0,,0.109,,5.7,0.601,,-0.07200000000000001,,1.149
10004048,London Metropolitan University,England,2016/17,London,514.0,,,0.006,,0.019,394.0,,0.13,,5.7,0.5579999999999999,,-0.039,,1.4509999999999998
10004048,London Metropolitan University,England,2017/18,London,532.0,,,0.003,,-0.107,309.0,,0.116,,4.9,0.601,,-0.101,,1.59
10004048,London Metropolitan University,England,2018/19,London,507.0,506.0,,0.001,,-0.09,273.0,272.0,0.13,0.13,4.3,0.622,0.623,-0.12,-0.121,1.539
10004048,London Metropolitan University,England,2019/20,London,221.0,227.0,,0.0,,-0.079,226.0,232.0,0.1,0.103,4.2,0.617,0.589,-0.091,-0.064,0.653
10004048,London Metropolitan University,England,2020/21,London,268.0,283.0,0.0,0.0,,0.156,248.0,263.0,0.08900000000000001,0.094,3.5,0.547,0.493,-0.04,0.014,0.759
10004048,London Metropolitan University,England,2021/22,London,617.0,660.0,0.0,0.0,,0.158,272.0,292.0,0.108,0.116,3.0,0.545,0.478,-0.024,0.043,1.727
10004048,London Metropolitan University,England,2022/23,London,645.0,659.0,0.0,0.0,,0.14400000000000002,268.0,275.0,0.087,0.08800000000000001,2.5,0.456,0.435,0.032,0.053,1.705
10004048,London Metropolitan University,England,2023/24,London,659.0,659.0,0.0,0.0,,-0.047,202.0,202.0,0.096,0.096,2.9,0.441,0.44,0.016,0.017,1.771
10004061,Bloomsbury Institute,England,2019/20,London,58.0,58.0,,0.6559999999999999,,-0.076,123.0,123.0,0.161,0.161,3.2,0.36,0.36,0.038,0.038,-0.244
10004061,Bloomsbury Institute,England,2020/21,London,123.0,123.0,-1.0,0.981,,0.111,169.0,169.0,0.069,0.069,8.0,0.405,0.405,0.104,0.104,-0.213
10004061,Bloomsbury Institute,England,2021/22,London,-39.0,-39.0,5.5,0.988,,0.135,193.0,193.0,0.084,0.084,1.4,0.687,0.687,-0.465,-0.465,-0.6829999999999999
10004061,Bloomsbury Institute,England,2022/23,London,70.0,70.0,0.1,0.0,,0.058,83.0,83.0,0.051,0.051,0.9,0.341,0.341,-0.142,-0.142,-0.418
10004061,Bloomsbury Institute,England,2023/24,London,65.0,65.0,0.0,0.0,,-0.374,36.0,36.0,0.068,0.068,1.0,0.416,0.416,-0.114,-0.114,-0.631
10004063,London School of Economics and Political Science,England,2015/16,London,534.0,,,0.541,0.0,0.084,75.0,,0.075,,0.8,0.502,,0.098,,0.964
10004063,London School of Economics and Political Science,England,2016/17,London,586.0,,,0.496,,0.14800000000000002,96.0,,0.066,,1.0,0.494,,0.1,,1.061
10004063,London School of Economics and Political Science,England,2017/18,London,613.0,,,0.5529999999999999,,0.075,124.0,,0.059,,1.2,0.522,,0.084,,1.132
10004063,London School of Economics and Political Science,England,2018/19,London,505.0,591.0,,0.472,,0.07200000000000001,47.0,55.0,0.042,0.05,0.8,0.629,0.488,0.022,0.163,0.969
10004063,London School of Economics and Political Science,England,2019/20,London,692.0,617.0,,0.467,,-0.025,24.0,21.0,0.048,0.043,0.7,0.424,0.523,0.193,0.094,1.036
10004063,London School of Economics and Political Science,England,2020/21,London,820.0,789.0,4.4,0.608,,0.14800000000000002,125.0,120.0,0.042,0.041,0.8,0.516,0.5489999999999999,0.145,0.113,1.28
10004063,London School of Economics and Political Science,England,2021/22,London,579.0,694.0,1.3,0.522,,0.267,120.0,145.0,0.041,0.05,1.5,0.6920000000000001,0.518,-0.05,0.124,1.098
10004063,London School of Economics and Political Science,England,2022/23,London,673.0,659.0,1.9,0.585,,0.059,200.0,196.0,0.04,0.039,2.5,0.527,0.546,0.087,0.068,1.133
10004063,London School of Economics and Political Science,England,2023/24,London,1053.0,795.0,4.5,0.511,,0.122,280.0,209.0,0.048,0.036000000000000004,2.7,0.294,0.508,0.341,0.127,1.3230000000000002
10004075,London School of Theology,England,2019/20,London,1090.0,1090.0,,0.015,,-0.099,95.0,95.0,0.042,0.042,2.0,0.589,0.589,-0.11,-0.11,2.681
10004075,London School of Theology,England,2020/21,London,1119.0,1119.0,-98.0,0.014,,0.027000000000000003,200.0,200.0,0.039,0.039,3.1,0.568,0.568,0.009000000000000001,0.009000000000000001,2.506
10004075,London School of Theology,England,2021/22,London,1302.0,1302.0,0.0,0.001,,-0.232,132.0,132.0,0.037000000000000005,0.037000000000000005,2.7,0.609,0.609,-0.043,-0.043,3.083
10004075,London School of Theology,England,2022/23,London,1167.0,1167.0,0.0,0.0,,-0.198,98.0,98.0,0.029,0.029,2.4,0.688,0.688,-0.153,-0.153,3.014
10004075,London School of Theology,England,2023/24,London,1027.0,1027.0,0.0,0.023,,-0.301,86.0,86.0,0.034,0.034,2.5,0.78,0.78,-0.233,-0.233,2.8080000000000003
10004075,London School of Theology,England,2024/25,London,995.0,995.0,-56.0,0.017,,-0.317,73.0,73.0,0.049,0.049,2.5,0.7609999999999999,0.7609999999999999,-0.233,-0.233,2.6910000000000003
10004078,London South Bank University,England,2015/16,London,206.0,,,0.195,0.0,0.175,154.0,,0.099,,1.5,0.518,,0.024,,0.544
10004078,London South Bank University,England,2016/17,London,229.0,,,0.177,,0.01,134.0,,0.108,,1.9,0.52,,0.013,,0.614
10004078,London South Bank University,England,2017/18,London,280.0,,,0.16699999999999998,,0.08800000000000001,135.0,,0.09,,2.2,0.565,,0.011,,0.753
10004078,London South Bank University,England,2018/19,London,285.0,285.0,,0.201,,0.165,142.0,142.0,0.076,0.076,2.3,0.499,0.499,0.106,0.106,0.6940000000000001
10004078,London South Bank University,England,2019/20,London,167.0,167.0,,0.187,,0.083,110.0,110.0,0.08,0.08,1.8,0.56,0.561,0.006999999999999999,0.006,0.449
10004078,London South Bank University,England,2020/21,London,177.0,177.0,8.0,0.163,,0.153,59.0,59.0,0.067,0.067,1.0,0.5589999999999999,0.5589999999999999,0.015,0.015,0.473
10004078,London South Bank University,England,2021/22,London,435.0,435.0,6.5,0.198,,0.126,18.0,18.0,0.066,0.066,0.7,0.57,0.57,0.008,0.008,1.178
10004078,London South Bank University,England,2022/23,London,502.0,502.0,1.2,0.225,,0.027000000000000003,14.0,14.0,0.066,0.066,0.4,0.5539999999999999,0.5539999999999999,-0.081,-0.081,1.483
10004078,London South Bank University,England,2023/24,London,472.0,468.0,1.5,0.199,,0.049,4.0,4.0,0.081,0.08,0.4,0.544,0.552,-0.039,-0.047,1.338
10004079,London Studio Centre,England,2019/20,London,106.0,106.0,,0.006,,-0.018000000000000002,14.0,14.0,0.229,0.229,1.0,0.271,0.271,0.021,0.021,0.28300000000000003
10004079,London Studio Centre,England,2020/21,London,113.0,113.0,101.8,0.005,,0.13699999999999998,66.0,66.0,0.212,0.212,1.0,0.285,0.285,0.019,0.019,0.303
10004079,London Studio Centre,England,2021/22,London,114.0,114.0,56.8,0.004,,0.062,82.0,82.0,0.217,0.217,1.1,0.29,0.29,0.021,0.021,0.307
10004079,London Studio Centre,England,2022/23,London,99.0,99.0,-7.9,0.005,,-0.0455,49.5,49.5,0.228,0.228,1.15,0.3085,0.3085,-0.01,-0.01,0.2745
10004079,London Studio Centre,England,2023/24,London,60.0,60.0,-19.1,0.006,,-0.034,8.0,8.0,0.247,0.247,1.2,0.34700000000000003,0.34700000000000003,-0.118,-0.118,0.184
10004113,Loughborough University,England,2015/16,East Midlands,344.0,,,0.264,0.0,0.101,118.0,,0.06,,1.4,0.5,,0.056,,0.706
10004113,Loughborough University,England,2016/17,East Midlands,376.0,,,0.247,,0.083,108.0,,0.055,,1.4,0.502,,0.068,,0.7959999999999999
10004113,Loughborough University,England,2017/18,East Midlands,384.0,,,0.43,,0.078,115.0,,0.063,,1.5,0.536,,0.018000000000000002,,0.877
10004113,Loughborough University,England,2018/19,East Midlands,261.0,303.0,,0.396,,0.102,78.0,92.0,0.046,0.054000000000000006,1.4,0.71,0.5529999999999999,-0.142,0.015,0.6609999999999999
10004113,Loughborough University,England,2019/20,East Midlands,371.0,325.0,,0.36,,0.112,104.0,90.0,0.065,0.057,1.6,0.43,0.546,0.16699999999999998,0.051,0.657
10004113,Loughborough University,England,2020/21,East Midlands,351.0,351.0,6.4,0.36,,0.165,140.0,140.0,0.055,0.055,2.1,0.562,0.562,0.03,0.029,0.722
10004113,Loughborough University,England,2021/22,East Midlands,330.0,402.0,7.4,0.316,,0.174,141.0,174.0,0.058,0.07,2.3,0.7440000000000001,0.54,-0.152,0.053,0.845
10004113,Loughborough University,England,2022/23,East Midlands,419.0,408.0,4.1,0.266,,0.08800000000000001,165.0,160.0,0.08900000000000001,0.087,2.4,0.491,0.516,0.08,0.055,0.8809999999999999
10004113,Loughborough University,England,2023/24,East Midlands,709.0,500.0,2.2,0.255,,0.05,209.0,142.0,0.113,0.08,2.4,0.257,0.5489999999999999,0.301,0.009000000000000001,1.185
10004180,The Manchester Metropolitan University,England,2015/16,North West,513.0,,,0.124,0.0,0.156,199.0,,0.063,,3.4,0.5379999999999999,,0.095,,1.269
10004180,The Manchester Metropolitan University,England,2016/17,North West,532.0,,,0.109,,0.116,203.0,,0.058,,3.9,0.565,,0.022,,1.425
10004180,The Manchester Metropolitan University,England,2017/18,North West,559.0,,,0.095,,0.135,221.0,,0.049,,3.8,0.575,,0.012,,1.51
10004180,The Manchester Metropolitan University,England,2018/19,North West,487.0,510.0,,0.084,,0.078,185.0,195.0,0.059,0.062,3.5,0.61,0.564,-0.006999999999999999,0.04,1.341
10004180,The Manchester Metropolitan University,England,2019/20,North West,393.0,406.0,,0.076,,0.058,154.0,160.0,0.049,0.05,2.8,0.62,0.59,0.016,0.045,1.0590000000000002
10004180,The Manchester Metropolitan University,England,2020/21,North West,379.0,399.0,14.0,0.067,,0.122,144.0,152.0,0.044,0.047,2.2,0.647,0.597,0.019,0.069,1.013
10004180,The Manchester Metropolitan University,England,2021/22,North West,629.0,685.0,23.6,0.059,,0.171,158.0,173.0,0.055,0.06,2.1,0.613,0.532,0.027000000000000003,0.107,1.671
10004180,The Manchester Metropolitan University,England,2022/23,North West,610.0,614.0,2.1,0.0,,0.123,120.0,120.0,0.096,0.096,1.7,0.561,0.555,0.038,0.044,1.602
10004180,The Manchester Metropolitan University,England,2023/24,North West,562.0,552.0,111.0,0.0,,0.046,103.0,101.0,0.08199999999999999,0.08,1.8,0.55,0.568,0.035,0.018000000000000002,1.479
10004320,The Metanoia Institute,England,2019/20,London,411.0,411.0,,0.0,,0.062,299.0,299.0,0.027000000000000003,0.027000000000000003,2.2,0.738,0.738,0.03,0.03,1.093
10004320,The Metanoia Institute,England,2020/21,London,363.0,363.0,0.0,0.0,,0.033,268.0,268.0,0.021,0.021,2.3,0.727,0.727,0.033,0.033,0.962
10004320,The Metanoia Institute,England,2021/22,London,363.0,363.0,0.0,0.0,,0.152,299.0,299.0,0.021,0.021,2.6,0.693,0.693,0.102,0.102,0.894
10004320,The Metanoia Institute,England,2022/23,London,298.0,298.0,0.0,0.0,,-0.095,230.0,230.0,0.022,0.022,2.3,0.809,0.809,-0.066,-0.066,0.87
10004320,The Metanoia Institute,England,2023/24,London,303.0,303.0,0.0,0.0,,0.092,258.0,258.0,0.026,0.026,2.5,0.7290000000000001,0.7290000000000001,0.04,0.04,0.797
10004320,The Metanoia Institute,England,2024/25,London,305.0,305.0,0.0,0.0,,-0.011,257.0,257.0,0.028,0.028,2.8,0.735,0.735,0.022,0.022,0.818
10004351,Middlesex University,England,2015/16,London,54.0,,,0.452,0.0,0.163,139.0,,0.063,,1.6,0.561,,0.015,,0.142
10004351,Middlesex University,England,2016/17,London,143.0,,,0.416,,0.126,148.0,,0.057,,1.9,0.563,,0.045,,0.37
10004351,Middlesex University,England,2017/18,London,178.0,,,0.387,,0.145,170.0,,0.062,,2.1,0.575,,0.027000000000000003,,0.473
10004351,Middlesex University,England,2018/19,London,145.0,148.0,,0.379,,0.14300000000000002,181.0,185.0,0.062,0.064,2.3,0.562,0.544,0.027000000000000003,0.046,0.383
10004351,Middlesex University,England,2019/20,London,56.0,58.0,,0.355,,0.091,178.0,183.0,0.063,0.065,2.3,0.569,0.544,-0.016,0.01,0.153
10004351,Middlesex University,England,2020/21,London,70.0,73.0,2.6,0.345,,0.109,207.0,215.0,0.054000000000000006,0.056,2.5,0.594,0.5579999999999999,-0.014,0.022,0.19
10004351,Middlesex University,England,2021/22,London,282.0,296.0,1.4,0.343,,0.065,190.0,199.0,0.055,0.058,2.2,0.654,0.605,-0.12,-0.07,0.8590000000000001
10004351,Middlesex University,England,2022/23,London,318.0,319.0,0.9,0.301,,0.04,163.0,164.0,0.073,0.073,1.8,0.59,0.586,-0.052000000000000005,-0.048,0.907
10004351,Middlesex University,England,2023/24,London,268.0,268.0,-1.4,0.281,,-0.065,115.0,115.0,0.077,0.077,0.8,0.578,0.578,-0.108,-0.108,0.8029999999999999
10004450,Mountview Academy of Theatre Arts,England,2019/20,London,234.0,234.0,,2.759,,-0.202,214.0,214.0,0.131,0.131,1.2,0.493,0.493,0.018000000000000002,0.018000000000000002,0.593
10004450,Mountview Academy of Theatre Arts,England,2020/21,London,215.0,215.0,-0.1,3.425,,-0.006,210.0,210.0,0.046,0.046,1.2,0.687,0.687,-0.126,-0.126,0.621
10004450,Mountview Academy of Theatre Arts,England,2021/22,London,103.0,103.0,0.0,3.269,,-0.027000000000000003,174.0,174.0,0.11,0.11,1.1,0.594,0.594,-0.282,-0.282,0.32299999999999995
10004450,Mountview Academy of Theatre Arts,England,2022/23,London,41.0,41.0,0.0,3.01,,-0.116,131.0,131.0,0.129,0.129,1.0,0.544,0.544,-0.221,-0.221,0.111
10004450,Mountview Academy of Theatre Arts,England,2023/24,London,12.0,12.0,-0.5,2.778,,-0.015,109.0,109.0,0.094,0.094,0.9,0.5329999999999999,0.5329999999999999,-0.155,-0.155,0.015
10004450,Mountview Academy of Theatre Arts,England,2024/25,London,-22.0,-22.0,0.0,2.74,,0.0,61.0,61.0,0.076,0.076,0.8,0.551,0.551,-0.168,-0.168,-0.101
10004511,The National Film and Television School,England,2015/16,South East,291.0,,,0.1,0.0,0.181,154.0,,0.101,,1.3,0.36,,0.104,,0.696
10004511,The National Film and Television School,England,2016/17,South East,300.0,,,0.132,,0.132,80.0,,0.08900000000000001,,1.0,0.34700000000000003,,0.117,,0.7070000000000001
10004511,The National Film and Television School,England,2017/18,South East,294.0,,,0.119,,0.099,77.0,,0.087,,0.9,0.373,,0.029,,0.763
10004511,The National Film and Television School,England,2018/19,South East,275.0,275.0,,0.11,,0.038,65.0,65.0,0.091,0.091,1.0,0.36,0.36,0.031,0.031,0.7140000000000001
10004511,The National Film and Television School,England,2019/20,South East,258.0,258.0,,0.1,,0.152,107.0,107.0,0.08,0.08,1.0,0.39,0.39,0.014,0.014,0.696
10004511,The National Film and Television School,England,2020/21,South East,275.0,275.0,9.8,0.115,,0.177,149.0,149.0,0.08,0.08,0.9,0.398,0.398,0.006999999999999999,0.006999999999999999,0.7490000000000001
10004511,The National Film and Television School,England,2021/22,South East,265.0,265.0,2.9,0.08199999999999999,,0.046,129.0,129.0,0.08800000000000001,0.08800000000000001,0.9,0.358,0.358,0.038,0.038,0.691
10004511,The National Film and Television School,England,2022/23,South East,247.0,247.0,-0.2,0.053,,-0.003,83.0,83.0,0.084,0.084,0.9,0.389,0.389,0.05,0.05,0.637
10004511,The National Film and Television School,England,2023/24,South East,264.0,264.0,3.0,0.001,,0.017,58.0,58.0,0.084,0.084,0.9,0.395,0.395,0.064,0.064,0.6709999999999999
10004538,Nazarene Theological College,England,2018/19,North West,627.0,627.0,,0.142,,-0.001,156.0,156.0,0.08199999999999999,0.08199999999999999,5.6,0.564,0.564,0.019,0.019,1.496
10004538,Nazarene Theological College,England,2019/20,North West,695.0,695.0,,0.132,,0.077,189.0,189.0,0.08800000000000001,0.08800000000000001,8.4,0.498,0.498,0.099,0.099,1.497
10004538,Nazarene Theological College,England,2020/21,North West,787.0,787.0,12.0,0.128,,0.221,288.0,288.0,0.104,0.104,11.9,0.476,0.476,0.115,0.115,1.666
10004538,Nazarene Theological College,England,2021/22,North West,758.0,758.0,5.4,0.119,,0.087,295.0,295.0,0.135,0.135,4.7,0.465,0.465,0.038,0.038,1.719
10004538,Nazarene Theological College,England,2022/23,North West,658.0,658.0,1.2,0.094,,0.011,250.0,250.0,0.109,0.109,8.4,0.462,0.462,0.023,0.023,1.517
10004538,Nazarene Theological College,England,2023/24,North West,684.0,684.0,-1.9,0.08800000000000001,,-0.02,227.0,227.0,0.04,0.04,7.6,0.534,0.534,0.009000000000000001,0.009000000000000001,1.558
10004740,Northern College of Acupuncture,England,2018/19,Yorkshire and The Humber,89.0,89.0,,0.0,,-0.011,112.0,112.0,0.097,0.097,2.7,0.481,0.481,-0.079,-0.079,0.241
10004740,Northern College of Acupuncture,England,2019/20,Yorkshire and The Humber,120.0,120.0,,0.0,,0.057,136.0,136.0,0.077,0.077,2.7,0.552,0.552,0.078,0.078,0.284
10004740,Northern College of Acupuncture,England,2020/21,Yorkshire and The Humber,118.0,118.0,0.0,0.0,,0.077,158.0,158.0,0.08,0.08,2.5,0.459,0.459,0.005,0.005,0.304
10004740,Northern College of Acupuncture,England,2021/22,Yorkshire and The Humber,96.0,96.0,0.0,0.0,,-0.014,148.0,148.0,0.093,0.093,2.3,0.511,0.511,-0.05,-0.05,0.261
10004740,Northern College of Acupuncture,England,2022/23,Yorkshire and The Humber,111.0,111.0,0.0,0.0,,0.005,166.0,166.0,0.094,0.094,2.4,0.512,0.512,0.01,0.01,0.285
10004740,Northern College of Acupuncture,England,2023/24,Yorkshire and The Humber,61.0,61.0,0.0,0.0,,-0.112,107.0,107.0,0.331,0.331,1.9,0.506,0.506,-0.103,-0.103,0.16899999999999998
10004747,St Hild College,England,2024/25,Yorkshire and The Humber,305.0,305.0,0.0,0.0,,0.011,63.0,63.0,0.0,0.0,6.1,0.61,0.61,0.052000000000000005,0.052000000000000005,0.253
10004775,Norwich University of the Arts,England,2015/16,East of England,570.0,,,0.051,0.0,0.252,369.0,,0.077,,8.4,0.418,,0.24,,1.186
10004775,Norwich University of the Arts,England,2016/17,East of England,668.0,,,0.044,,0.292,509.0,,0.05,,17.5,0.43,,0.262,,1.348
10004775,Norwich University of the Arts,England,2017/18,East of England,693.0,,,0.04,,0.244,556.0,,0.06,,19.5,0.482,,0.171,,1.575
10004775,Norwich University of the Arts,England,2018/19,East of England,731.0,731.0,,0.035,,0.266,610.0,610.0,0.062,0.062,21.8,0.477,0.477,0.198,0.198,1.604
10004775,Norwich University of the Arts,England,2019/20,East of England,662.0,690.0,,0.032,,0.229,630.0,658.0,0.057,0.059,17.1,0.514,0.48,0.145,0.179,1.551
10004775,Norwich University of the Arts,England,2020/21,East of England,733.0,783.0,74.9,0.026,,0.353,560.0,602.0,0.063,0.067,8.2,0.511,0.459,0.205,0.257,1.595
10004775,Norwich University of the Arts,England,2021/22,East of England,997.0,1086.0,67.4,0.021,,0.289,484.0,532.0,0.05,0.054000000000000006,9.8,0.503,0.435,0.177,0.244,2.248
10004775,Norwich University of the Arts,England,2022/23,East of England,1030.0,1041.0,59.1,0.016,,0.233,471.0,476.0,0.067,0.067,7.7,0.482,0.473,0.168,0.177,2.344
10004775,Norwich University of the Arts,England,2023/24,East of England,997.0,981.0,32.4,0.013,,0.117,426.0,418.0,0.08800000000000001,0.086,8.7,0.489,0.503,0.13,0.115,2.374
10004797,The Nottingham Trent University,England,2015/16,East Midlands,125.0,,,0.32,0.0,0.196,126.0,,0.047,,2.2,0.5579999999999999,,0.062,,0.293
10004797,The Nottingham Trent University,England,2016/17,East Midlands,127.0,,,0.29600000000000004,,0.125,110.0,,0.038,,2.4,0.5870000000000001,,0.028,,0.316
10004797,The Nottingham Trent University,England,2017/18,East Midlands,160.0,,,0.297,,0.149,100.0,,0.032,,2.2,0.609,,-0.002,,0.419
10004797,The Nottingham Trent University,England,2018/19,East Midlands,108.0,115.0,,0.274,,0.141,77.0,83.0,0.036000000000000004,0.038,1.7,0.63,0.568,-0.013,0.049,0.28300000000000003
10004797,The Nottingham Trent University,England,2019/20,East Midlands,-14.0,-14.0,,0.309,,0.141,109.0,114.0,0.038,0.039,1.7,0.614,0.573,0.02,0.061,-0.051
10004797,The Nottingham Trent University,England,2020/21,East Midlands,13.0,13.0,3.7,0.229,,0.241,161.0,174.0,0.028,0.03,2.9,0.618,0.556,0.053,0.115,0.019
10004797,The Nottingham Trent University,England,2021/22,East Midlands,305.0,333.0,19.9,0.209,,0.193,189.0,208.0,0.032,0.035,3.3,0.631,0.5489999999999999,0.021,0.103,0.805
10004797,The Nottingham Trent University,England,2022/23,East Midlands,438.0,449.0,1.1,0.102,,0.11,150.0,154.0,0.029,0.03,2.7,0.5870000000000001,0.563,0.054000000000000006,0.077,1.098
10004797,The Nottingham Trent University,England,2023/24,East Midlands,420.0,413.0,17.8,0.101,,0.08199999999999999,135.0,132.0,0.03,0.03,2.4,0.594,0.61,0.021,0.004,1.088
10004930,Oxford Brookes University,England,2015/16,South East,276.0,,,0.688,0.0,0.175,118.0,,0.043,,1.9,0.499,,0.069,,0.693
10004930,Oxford Brookes University,England,2016/17,South East,265.0,,,0.6629999999999999,,0.165,83.0,,0.042,,1.4,0.518,,0.03,,0.6920000000000001
10004930,Oxford Brookes University,England,2017/18,South East,297.0,,,0.65,,0.13699999999999998,64.0,,0.053,,1.2,0.56,,-0.057,,0.848
10004930,Oxford Brookes University,England,2018/19,South East,254.0,263.0,,1.002,,0.109,198.0,206.0,0.048,0.05,3.5,0.555,0.519,-0.018000000000000002,0.018000000000000002,0.696
10004930,Oxford Brookes University,England,2019/20,South East,185.0,193.0,,1.02,,0.142,207.0,217.0,0.058,0.061,3.2,0.585,0.542,-0.047,-0.004,0.519
10004930,Oxford Brookes University,England,2020/21,South East,265.0,285.0,3.9,0.97,,0.197,241.0,261.0,0.064,0.069,3.1,0.585,0.513,-0.017,0.055,0.727
10004930,Oxford Brookes University,England,2021/22,South East,458.0,499.0,2.9,0.923,,0.141,215.0,237.0,0.063,0.069,2.9,0.602,0.513,-0.073,0.017,1.335
10004930,Oxford Brookes University,England,2022/23,South East,463.0,471.0,2.3,0.833,,0.102,162.0,165.0,0.066,0.067,2.1,0.531,0.514,0.0,0.016,1.258
10004930,Oxford Brookes University,England,2023/24,South East,431.0,403.0,1.4,0.7170000000000001,,0.057,56.0,53.0,0.08,0.075,1.0,0.404,0.468,0.059,-0.005,1.102
10005127,Arts University Plymouth,England,2015/16,South West,122.0,,,0.445,0.0,0.18600000000000005,108.0,,0.096,,2.3,0.519,,0.066,,0.308
10005127,Arts University Plymouth,England,2016/17,South West,112.0,,,0.398,,0.126,103.0,,0.098,,2.2,0.578,,0.003,,0.302
10005127,Arts University Plymouth,England,2017/18,South West,130.0,,,0.348,,0.086,101.0,,0.08900000000000001,,2.7,0.617,,-0.027000000000000003,,0.365
10005127,Arts University Plymouth,England,2018/19,South West,86.0,91.0,,0.331,,0.08800000000000001,99.0,106.0,0.081,0.086,2.0,0.665,0.598,-0.085,-0.018000000000000002,0.255
10005127,Arts University Plymouth,England,2019/20,South West,-52.0,-56.0,,0.31,,0.1,124.0,132.0,0.067,0.07200000000000001,2.3,0.679,0.618,-0.047,0.014,-0.15
10005127,Arts University Plymouth,England,2020/21,South West,-97.0,-107.0,1.1,0.28300000000000003,,0.054000000000000006,121.0,134.0,0.055,0.061,2.4,0.7859999999999999,0.6809999999999999,-0.127,-0.021,-0.299
10005127,Arts University Plymouth,England,2021/22,South West,181.0,205.0,0.0,0.234,,-0.003,102.0,117.0,0.063,0.07200000000000001,1.9,0.828,0.684,-0.209,-0.065,0.599
10005127,Arts University Plymouth,England,2022/23,South West,324.0,335.0,0.7,0.16,,0.043,97.0,101.0,0.076,0.079,2.2,0.664,0.629,-0.032,0.002,0.917
10005127,Arts University Plymouth,England,2023/24,South West,311.0,307.0,-0.8,0.123,,-0.047,65.0,65.0,0.11,0.109,1.0,0.6809999999999999,0.696,-0.077,-0.091,0.917
10005337,"Queen Margaret University, Edinburgh",Scotland,2015/16,Scotland,257.0,,,0.96,0.366,0.09,88.0,,0.085,,1.2,0.598,,-0.05,,0.726
10005337,"Queen Margaret University, Edinburgh",Scotland,2016/17,Scotland,268.0,,,0.858,,0.116,87.0,,0.08199999999999999,,1.6,0.598,,-0.02,,0.736
10005337,"Queen Margaret University, Edinburgh",Scotland,2017/18,Scotland,478.0,,,0.871,,0.096,79.0,,0.09,,0.3,0.649,,-0.145,,1.483
10005337,"Queen Margaret University, Edinburgh",Scotland,2018/19,Scotland,582.0,618.0,,0.778,,0.093,74.0,79.0,0.101,0.108,1.2,0.6759999999999999,0.609,-0.153,-0.086,1.823
10005337,"Queen Margaret University, Edinburgh",Scotland,2019/20,Scotland,562.0,569.0,,0.722,,0.106,90.0,91.0,0.096,0.097,1.6,0.573,0.56,-0.012,0.001,1.537
10005337,"Queen Margaret University, Edinburgh",Scotland,2020/21,Scotland,586.0,618.0,1.8,0.63,,0.21600000000000005,140.0,148.0,0.094,0.099,1.8,0.613,0.5589999999999999,-0.042,0.012,1.65
10005337,"Queen Margaret University, Edinburgh",Scotland,2021/22,Scotland,838.0,903.0,1.1,0.439,,0.16399999999999998,127.0,138.0,0.092,0.099,1.7,0.605,0.532,-0.008,0.064,2.291
10005337,"Queen Margaret University, Edinburgh",Scotland,2022/23,Scotland,1032.0,1042.0,2.0,0.385,,0.08800000000000001,140.0,141.0,0.101,0.102,2.0,0.585,0.5760000000000001,0.003,0.013,2.797
10005337,"Queen Margaret University, Edinburgh",Scotland,2023/24,Scotland,1062.0,1024.0,2.3,0.34600000000000003,,0.093,150.0,144.0,0.093,0.09,0.8,0.557,0.593,0.058,0.022,2.722
10005343,Queen's University Belfast,Northern Ireland,2015/16,Northern Ireland,480.0,,,0.136,0.0,0.079,308.0,,0.048,,2.8,0.57,,0.002,,1.129
10005343,Queen's University Belfast,Northern Ireland,2016/17,Northern Ireland,529.0,,,0.068,,0.067,270.0,,0.051,,2.5,0.537,,0.036000000000000004,,1.199
