UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Days ratio of total net assets to total expenditure,Days ratio of total net assets to total expenditure excl. pension adjustment,Debt service ratio,External borrowing as a % of total income,General funds as a % of total income,Net cash inflow from operating activities as a % of total income,Net liquidity days,Net liquidity days excl. pension adjustment,Premises costs as a % of total costs,Premises costs as a % of total costs excl. pension adjustment,Ratio of current assets to current liabilities,Staff costs as a % of total income,Staff costs excl. pension adjustment as a % of total income,Surplus/(deficit) as a % of total income,Surplus/(deficit) excl. pension adjustment as a % of total income,Unrestricted reserves as a % of total income
10000385,The Arts University Bournemouth,England,2018/19,South West,423.0,423.0,,0.623,,0.219,116.0,116.0,0.09,0.09,1.4,0.459,0.459,0.012,0.012,1.128
10000385,The Arts University Bournemouth,England,2019/20,South West,326.0,326.0,,0.778,,0.155,36.0,36.0,0.08900000000000001,0.08900000000000001,0.3,0.494,0.494,-0.009000000000000001,-0.009000000000000001,0.8859999999999999
10000385,The Arts University Bournemouth,England,2020/21,South West,274.0,274.0,2.8,0.916,,0.165,77.0,77.0,0.091,0.091,0.4,0.539,0.539,-0.103,-0.103,0.812
10000385,The Arts University Bournemouth,England,2021/22,South West,425.0,425.0,3.4,0.777,,0.192,101.0,101.0,0.104,0.104,0.6,0.499,0.499,-0.046,-0.046,1.204
10000385,The Arts University Bournemouth,England,2022/23,South West,474.0,474.0,3.0,0.698,,0.163,101.0,101.0,0.101,0.101,0.6,0.463,0.463,-0.019,-0.019,1.311
10000385,The Arts University Bournemouth,England,2023/24,South West,434.0,434.0,0.6,0.5529999999999999,,0.093,38.0,38.0,0.101,0.101,0.4,0.452,0.452,-0.037000000000000005,-0.037000000000000005,1.219
10000571,Bath Spa University,England,2015/16,South West,412.0,,,0.831,0.0,0.35100000000000003,233.0,,0.064,,3.1,0.467,,0.12,,0.986
10000571,Bath Spa University,England,2016/17,South West,374.0,,,0.7290000000000001,,0.182,228.0,,0.071,,3.1,0.491,,0.06,,0.956
10000571,Bath Spa University,England,2017/18,South West,387.0,,,0.685,,0.1,188.0,,0.065,,2.7,0.542,,0.011,,1.041
10000571,Bath Spa University,England,2018/19,South West,324.0,324.0,,0.7120000000000001,,0.117,133.0,133.0,0.059,0.059,1.7,0.544,0.544,-0.013,-0.013,0.9
10000571,Bath Spa University,England,2019/20,South West,264.0,264.0,,0.68,,0.065,113.0,113.0,0.061,0.061,1.9,0.545,0.545,0.002,0.002,0.721
10000571,Bath Spa University,England,2020/21,South West,272.0,272.0,1.8,0.657,,0.124,132.0,132.0,0.045,0.045,2.2,0.606,0.606,-0.018000000000000002,-0.018000000000000002,0.758
