UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Net cash inflow from operating activities as a % of total income,Surplus/(deficit) as a % of total income,Net cash inflow from operating activities as a % of total income - Outlier,Surplus/(deficit) as a % of total income - Outlier,Outlying value
10000894,Bristol Baptist College,England,2020/21,South West,-0.261,-0.012,True,False,True
10000894,Bristol Baptist College,England,2021/22,South West,-0.28300000000000003,-0.042,True,False,True
10000894,Bristol Baptist College,England,2022/23,South West,-0.695,-0.6859999999999999,True,True,True
10000894,Bristol Baptist College,England,2023/24,South West,-0.481,-0.506,True,True,True
10000911,BCNO Limited,England,2019/20,London,-0.013,-0.064,False,False,False
10000911,BCNO Limited,England,2020/21,London,-0.154,-0.249,True,True,True
10000911,BCNO Limited,England,2021/22,London,0.117,-0.053,False,False,False
10000911,BCNO Limited,England,2022/23,London,-0.049,-0.067,False,False,False
10000911,BCNO Limited,England,2023/24,London,-0.047,-0.18600000000000005,False,False,False
10000911,BCNO Limited,England,2024/25,London,-0.115,-0.192,False,False,False
10000936,The University College of Osteopathy,England,2016/17,London,0.185,0.107,False,False,False
10000936,The University College of Osteopathy,England,2017/18,London,0.16399999999999998,0.071,False,False,False
10000936,The University College of Osteopathy,England,2018/19,London,0.093,0.054000000000000006,False,False,False
10000936,The University College of Osteopathy,England,2019/20,London,-0.021,-0.077,False,False,False
10000936,The University College of Osteopathy,England,2020/21,London,0.103,0.012,False,False,False
10000936,The University College of Osteopathy,England,2021/22,London,0.097,0.035,False,False,False
10000936,The University College of Osteopathy,England,2022/23,London,0.01,-0.06,False,False,False
10000961,Brunel University London,England,2015/16,London,0.06,0.011,False,False,False
10000961,Brunel University London,England,2016/17,London,0.067,0.003,False,False,False
10000961,Brunel University London,England,2017/18,London,0.105,0.022,False,False,False
10000961,Brunel University London,England,2018/19,London,0.103,-0.141,False,False,False
10000961,Brunel University London,England,2019/20,London,0.05,0.09,False,False,False
10000961,Brunel University London,England,2020/21,London,0.119,-0.097,False,False,False
10000961,Brunel University London,England,2021/22,London,0.08199999999999999,-0.15,False,False,False
10000961,Brunel University London,England,2022/23,London,0.067,0.015,False,False,False
10000961,Brunel University London,England,2023/24,London,-0.05,0.212,False,False,False
10000975,Buckinghamshire New University,England,2015/16,South East,0.125,0.018000000000000002,False,False,False
10000975,Buckinghamshire New University,England,2016/17,South East,0.037000000000000005,-0.067,False,False,False
10000975,Buckinghamshire New University,England,2017/18,South East,0.097,-0.068,False,False,False
10000975,Buckinghamshire New University,England,2018/19,South East,0.122,-0.03,False,False,False
10000975,Buckinghamshire New University,England,2019/20,South East,0.068,0.035,False,False,False
10000975,Buckinghamshire New University,England,2020/21,South East,0.118,0.023,False,False,False
10000975,Buckinghamshire New University,England,2021/22,South East,0.14300000000000002,0.045,False,False,False
10000975,Buckinghamshire New University,England,2022/23,South East,0.068,0.043,False,False,False
10000975,Buckinghamshire New University,England,2023/24,South East,0.067,0.02,False,False,False
10001143,Canterbury Christ Church University,England,2015/16,South East,0.157,0.054000000000000006,False,False,False
10001143,Canterbury Christ Church University,England,2016/17,South East,0.07400000000000001,0.029,False,False,False
10001143,Canterbury Christ Church University,England,2017/18,South East,0.146,-0.009000000000000001,False,False,False
10001143,Canterbury Christ Church University,England,2018/19,South East,0.069,-0.034,False,False,False
10001143,Canterbury Christ Church University,England,2019/20,South East,0.067,-0.058,False,False,False
10001143,Canterbury Christ Church University,England,2020/21,South East,0.104,0.07200000000000001,False,False,False
10001143,Canterbury Christ Church University,England,2021/22,South East,0.112,-0.029,False,False,False
10001143,Canterbury Christ Church University,England,2022/23,South East,0.08199999999999999,0.013,False,False,False
10001143,Canterbury Christ Church University,England,2023/24,South East,0.051,0.023,False,False,False
10001264,Central School of Ballet,England,2021/22,London,-0.034,-0.227,False,False,False
10001264,Central School of Ballet,England,2022/23,London,-0.009000000000000001,-0.278,False,True,True
10001264,Central School of Ballet,England,2023/24,London,0.08199999999999999,-0.127,False,False,False
10001282,University of Northumbria at Newcastle,England,2015/16,North East,0.085,0.002,False,False,False
10001282,University of Northumbria at Newcastle,England,2016/17,North East,0.102,0.018000000000000002,False,False,False
10001282,University of Northumbria at Newcastle,England,2017/18,North East,0.112,0.02,False,False,False
10001282,University of Northumbria at Newcastle,England,2018/19,North East,0.08,-0.061,False,False,False
10001282,University of Northumbria at Newcastle,England,2019/20,North East,0.114,0.021,False,False,False
10001282,University of Northumbria at Newcastle,England,2020/21,North East,0.141,0.008,False,False,False
10001282,University of Northumbria at Newcastle,England,2021/22,North East,0.152,0.001,False,False,False
10001282,University of Northumbria at Newcastle,England,2022/23,North East,0.059,0.033,False,False,False
10001282,University of Northumbria at Newcastle,England,2023/24,North East,0.02,0.025,False,False,False
10001386,Chicken Shed Theatre Company,England,2018/19,London,0.04,-0.06,False,False,False
10001386,Chicken Shed Theatre Company,England,2019/20,London,0.079,0.099,False,False,False
10001386,Chicken Shed Theatre Company,England,2020/21,London,0.192,0.129,False,False,False
10001386,Chicken Shed Theatre Company,England,2021/22,London,0.163,0.172,False,False,False
10001386,Chicken Shed Theatre Company,England,2022/23,London,0.041,0.124,False,False,False
10001386,Chicken Shed Theatre Company,England,2023/24,London,0.111,0.041,False,False,False
10001419,Christie's Education Limited,England,2019/20,London,-0.916,-1.669,True,True,True
10001444,National Centre for Circus Arts,England,2021/22,London,-0.021,-0.049,False,False,False
10001444,National Centre for Circus Arts,England,2023/24,London,0.003,0.026,False,False,False
10001444,National Centre for Circus Arts,England,2024/25,London,-0.117,-0.106,False,False,False
10001478,"City St George's, University of London",England,2015/16,London,0.119,0.055,False,False,False
10001478,"City St George's, University of London",England,2016/17,London,0.11,0.025,False,False,False
10001478,"City St George's, University of London",England,2017/18,London,0.109,0.052000000000000005,False,False,False
10001478,"City St George's, University of London",England,2018/19,London,0.098,-0.145,False,False,False
10001478,"City St George's, University of London",England,2019/20,London,0.068,0.109,False,False,False
10001478,"City St George's, University of London",England,2020/21,London,0.091,-0.025,False,False,False
10001478,"City St George's, University of London",England,2021/22,London,0.023,-0.252,False,True,True
10001478,"City St George's, University of London",England,2022/23,London,0.017,0.016,False,False,False
10001478,"City St George's, University of London",England,2023/24,London,0.03,0.266,False,True,True
10001546,The College of Integrated Chinese Medicine,England,2019/20,South East,0.032,0.079,False,False,False
10001546,The College of Integrated Chinese Medicine,England,2020/21,South East,0.062,0.024,False,False,False
10001546,The College of Integrated Chinese Medicine,England,2021/22,South East,0.154,0.117,False,False,False
10001546,The College of Integrated Chinese Medicine,England,2022/23,South East,0.061,0.053,False,False,False
10001546,The College of Integrated Chinese Medicine,England,2023/24,South East,0.048,0.008,False,False,False
10001546,The College of Integrated Chinese Medicine,England,2024/25,South East,-0.035,-0.053,False,False,False
10001653,Conservatoire for Dance and Drama,England,2015/16,London,-0.039,0.003,False,False,False
10001653,Conservatoire for Dance and Drama,England,2016/17,London,0.004,-0.001,False,False,False
10001653,Conservatoire for Dance and Drama,England,2017/18,London,-0.006,-0.001,False,False,False
10001653,Conservatoire for Dance and Drama,England,2018/19,London,0.036000000000000004,0.008,False,False,False
10001653,Conservatoire for Dance and Drama,England,2019/20,London,0.004,0.049,False,False,False
10001653,Conservatoire for Dance and Drama,England,2020/21,London,-0.037000000000000005,-0.022,False,False,False
10001726,Coventry University,England,2015/16,West Midlands,0.09,0.092,False,False,False
10001726,Coventry University,England,2016/17,West Midlands,0.129,0.048,False,False,False
10001726,Coventry University,England,2017/18,West Midlands,0.188,0.049,False,False,False
10001726,Coventry University,England,2018/19,West Midlands,0.132,0.033,False,False,False
10001726,Coventry University,England,2019/20,West Midlands,0.116,0.015,False,False,False
10001726,Coventry University,England,2020/21,West Midlands,0.21600000000000005,0.005,False,False,False
10001726,Coventry University,England,2021/22,West Midlands,0.07400000000000001,-0.07200000000000001,False,False,False
10001726,Coventry University,England,2022/23,West Midlands,0.085,-0.012,False,False,False
10001726,Coventry University,England,2023/24,West Midlands,-0.095,-0.156,False,False,False
10001883,De Montfort University,England,2015/16,East Midlands,0.181,0.073,False,False,False
10001883,De Montfort University,England,2016/17,East Midlands,0.17600000000000002,0.068,False,False,False
10001883,De Montfort University,England,2017/18,East Midlands,0.17800000000000002,0.049,False,False,False
10001883,De Montfort University,England,2018/19,East Midlands,0.172,0.059,False,False,False
10001883,De Montfort University,England,2019/20,East Midlands,0.14300000000000002,0.059,False,False,False
10001883,De Montfort University,England,2020/21,East Midlands,0.157,-0.023,False,False,False
10001883,De Montfort University,England,2021/22,East Midlands,0.12,-0.035,False,False,False
10001883,De Montfort University,England,2022/23,East Midlands,0.17800000000000002,0.086,False,False,False
10001883,De Montfort University,England,2023/24,East Midlands,0.024,0.031,False,False,False
10002011,Bird College,England,2022/23,London,0.058,0.019,False,False,False
10002011,Bird College,England,2023/24,London,0.091,0.004,False,False,False
10002313,ESCP Europe Business School,England,2019/20,London,0.043,0.001,False,False,False
10002313,ESCP Europe Business School,England,2020/21,London,0.111,0.095,False,False,False
10002313,ESCP Europe Business School,England,2021/22,London,0.126,-0.14800000000000002,False,False,False
10002313,ESCP Europe Business School,England,2022/23,London,0.052000000000000005,-0.14400000000000002,False,False,False
10002313,ESCP Europe Business School,England,2023/24,London,-0.033,0.194,False,False,False
10002313,ESCP Europe Business School,England,2024/25,London,0.098,-0.021,False,False,False
10002344,European School of Osteopathy,England,2019/20,South East,0.096,0.054000000000000006,False,False,False
10002344,European School of Osteopathy,England,2020/21,South East,-0.036000000000000004,-0.003,False,False,False
10002681,Glasgow School of Art,Scotland,2015/16,Scotland,0.556,0.466,True,True,True
10002681,Glasgow School of Art,Scotland,2016/17,Scotland,0.018000000000000002,0.022,False,False,False
10002681,Glasgow School of Art,Scotland,2017/18,Scotland,0.022,-0.6509999999999999,False,True,True
10002681,Glasgow School of Art,Scotland,2018/19,Scotland,0.018000000000000002,-0.043,False,False,False
10002681,Glasgow School of Art,Scotland,2019/20,Scotland,0.135,0.124,False,False,False
10002681,Glasgow School of Art,Scotland,2020/21,Scotland,-0.043,-0.217,False,False,False
10002681,Glasgow School of Art,Scotland,2021/22,Scotland,-0.001,0.014,False,False,False
10002681,Glasgow School of Art,Scotland,2022/23,Scotland,0.192,0.051,False,False,False
10002681,Glasgow School of Art,Scotland,2023/24,Scotland,0.118,-0.006999999999999999,False,False,False
10002718,Goldsmiths College,England,2015/16,London,0.041,-0.004,False,False,False
10002718,Goldsmiths College,England,2016/17,London,0.095,-0.002,False,False,False
10002718,Goldsmiths College,England,2017/18,London,0.087,-0.006,False,False,False
10002718,Goldsmiths College,England,2018/19,London,0.07400000000000001,-0.199,False,False,False
10002718,Goldsmiths College,England,2019/20,London,0.015,-0.001,False,False,False
10002718,Goldsmiths College,England,2020/21,London,0.02,-0.104,False,False,False
10002718,Goldsmiths College,England,2021/22,London,0.136,-0.237,False,True,True
10002718,Goldsmiths College,England,2022/23,London,0.061,0.059,False,False,False
10002718,Goldsmiths College,England,2023/24,London,0.042,0.269,False,True,True
10003212,Hult International Business School Ltd,England,2019/20,London,-0.015,0.444,False,True,True
10003212,Hult International Business School Ltd,England,2020/21,London,0.311,0.057999999999999996,True,False,True
10003212,Hult International Business School Ltd,England,2021/22,London,0.01,0.059,False,False,False
10003212,Hult International Business School Ltd,England,2022/23,London,0.183,0.048,False,False,False
10003212,Hult International Business School Ltd,England,2023/24,London,0.153,0.056,False,False,False
10003239,ICON College of Technology and Management,England,2019/20,London,0.328,0.355,True,True,True
10003239,ICON College of Technology and Management,England,2020/21,London,0.292,0.388,True,True,True
10003239,ICON College of Technology and Management,England,2021/22,London,-0.383,-0.563,True,True,True
10003239,ICON College of Technology and Management,England,2022/23,London,-0.034,0.16399999999999998,False,False,False
10003239,ICON College of Technology and Management,England,2023/24,London,0.115,0.085,False,False,False
10003239,ICON College of Technology and Management,England,2024/25,London,-0.073,0.07,False,False,False
10003270,"Imperial College of Science, Technology and Medicine",England,2015/16,London,0.101,0.069,False,False,False
10003270,"Imperial College of Science, Technology and Medicine",England,2016/17,London,0.112,0.083,False,False,False
10003270,"Imperial College of Science, Technology and Medicine",England,2017/18,London,0.108,0.086,False,False,False
10003270,"Imperial College of Science, Technology and Medicine",England,2018/19,London,0.073,-0.052000000000000005,False,False,False
10003270,"Imperial College of Science, Technology and Medicine",England,2019/20,London,0.087,0.063,False,False,False
10003270,"Imperial College of Science, Technology and Medicine",England,2020/21,London,0.126,0.021,False,False,False
10003270,"Imperial College of Science, Technology and Medicine",England,2021/22,London,0.047,-0.083,False,False,False
10003270,"Imperial College of Science, Technology and Medicine",England,2022/23,London,0.045,0.023,False,False,False
10003270,"Imperial College of Science, Technology and Medicine",England,2023/24,London,0.061,0.18600000000000005,False,False,False
10003284,Inchbald School of Design Limited,England,2020/21,London,-0.8859999999999999,-0.556,True,True,True
10003284,Inchbald School of Design Limited,England,2021/22,London,-0.01,-0.119,False,False,False
10003284,Inchbald School of Design Limited,England,2022/23,London,0.104,0.005,False,False,False
10003284,Inchbald School of Design Limited,England,2023/24,London,-0.145,0.016,True,False,True
10003324,The Institute of Cancer Research,England,2015/16,London,0.371,0.321,True,True,True
10003324,The Institute of Cancer Research,England,2016/17,London,0.108,0.118,False,False,False
10003324,The Institute of Cancer Research,England,2017/18,London,0.13699999999999998,0.184,False,False,False
10003324,The Institute of Cancer Research,England,2018/19,London,0.209,0.14400000000000002,False,False,False
10003324,The Institute of Cancer Research,England,2019/20,London,0.182,0.229,False,False,False
10003324,The Institute of Cancer Research,England,2020/21,London,0.13,0.122,False,False,False
10003324,The Institute of Cancer Research,England,2021/22,London,0.109,-0.014,False,False,False
10003324,The Institute of Cancer Research,England,2022/23,London,-0.08,0.027000000000000003,False,False,False
10003324,The Institute of Cancer Research,England,2023/24,London,-0.172,0.17,True,False,True
10003331,Regent's University London,England,2018/19,London,0.045,-0.013,False,False,False
10003614,The University of Winchester,England,2015/16,South East,0.189,0.046,False,False,False
10003614,The University of Winchester,England,2016/17,South East,0.16399999999999998,0.07,False,False,False
10003614,The University of Winchester,England,2017/18,South East,0.126,0.026,False,False,False
10003614,The University of Winchester,England,2018/19,South East,0.07200000000000001,-0.036000000000000004,False,False,False
10003614,The University of Winchester,England,2019/20,South East,0.136,0.018000000000000002,False,False,False
10003614,The University of Winchester,England,2020/21,South East,0.202,0.059,False,False,False
10003614,The University of Winchester,England,2021/22,South East,0.149,0.001,False,False,False
10003614,The University of Winchester,England,2022/23,South East,0.043,-0.04,False,False,False
10003614,The University of Winchester,England,2023/24,South East,0.01,-0.017,False,False,False
10003645,King's College London,England,2015/16,London,0.066,0.032,False,False,False
10003645,King's College London,England,2016/17,London,0.062,0.018000000000000002,False,False,False
10003645,King's College London,England,2017/18,London,0.079,-0.002,False,False,False
10003645,King's College London,England,2018/19,London,0.02,-0.208,False,False,False
10003645,King's College London,England,2019/20,London,0.067,0.1,False,False,False
10003645,King's College London,England,2020/21,London,0.121,0.036000000000000004,False,False,False
10003645,King's College London,England,2021/22,London,0.118,-0.215,False,False,False
10003645,King's College London,England,2022/23,London,0.049,0.104,False,False,False
10003645,King's College London,England,2023/24,London,0.019,0.257,False,False,False
10003678,Kingston University,England,2015/16,London,0.094,0.004,False,False,False
10003678,Kingston University,England,2016/17,London,-0.006,-0.07,False,False,False
10003678,Kingston University,England,2017/18,London,0.058,-0.066,False,False,False
10003678,Kingston University,England,2018/19,London,0.14400000000000002,-0.036000000000000004,False,False,False
10003678,Kingston University,England,2019/20,London,0.218,-0.003,False,False,False
10003678,Kingston University,England,2020/21,London,0.16,-0.059,False,False,False
10003678,Kingston University,England,2021/22,London,0.202,-0.055,False,False,False
10003678,Kingston University,England,2022/23,London,0.044,-0.008,False,False,False
10003678,Kingston University,England,2023/24,London,0.051,0.033,False,False,False
10003758,LAMDA Limited,England,2018/19,London,0.071,-0.02,False,False,False
10003758,LAMDA Limited,England,2019/20,London,-0.049,-0.171,False,False,False
10003758,LAMDA Limited,England,2020/21,London,0.047,-0.098,False,False,False
10003758,LAMDA Limited,England,2021/22,London,0.1,0.002,False,False,False
10003758,LAMDA Limited,England,2022/23,London,0.325,0.145,True,False,True
10003758,LAMDA Limited,England,2023/24,London,0.183,0.048,False,False,False
10003798,Le Cordon Bleu Limited,England,2019/20,London,-0.006,0.021,False,False,False
10003798,Le Cordon Bleu Limited,England,2020/21,London,-0.08900000000000001,-0.329,False,True,True
